V\-(GS) - Plot 0	I\-(DS) - Plot 0	V\-(GS) - Plot 1	I\-(DS) - Plot 1	
-42.9969	4.66433E-7	-42.9969	-4.70204E-8	
-43.9982	4.90308E-7	-43.9982	-5.09047E-8	
-44.9985	5.1598E-7	-44.9985	-5.48406E-8	
-45.9987	5.38963E-7	-45.9987	-5.9153E-8	
-46.9991	5.65844E-7	-46.9991	-6.34999E-8	
-47.9996	5.91746E-7	-47.9996	-6.84312E-8	
-48.997	6.17962E-7	-48.997	-7.34986E-8	
-49.9969	6.44367E-7	-49.9969	-7.85969E-8	
-49.9969	6.4391E-7	-49.9969	-7.79893E-8	
-48.9972	6.1616E-7	-48.9972	-7.22302E-8	
-47.9994	5.88901E-7	-47.9994	-6.70181E-8	
-46.9989	5.61157E-7	-46.9989	-6.22067E-8	
-45.9982	5.34461E-7	-45.9982	-5.74469E-8	
-44.9979	5.0836E-7	-44.9979	-5.29765E-8	
-43.9975	4.82465E-7	-43.9975	-4.87716E-8	
-42.9964	4.57369E-7	-42.9964	-4.4766E-8	
-41.9996	4.32985E-7	-41.9996	-4.11433E-8	
-40.9986	4.09181E-7	-40.9986	-3.76229E-8	
-39.9982	3.86011E-7	-39.9982	-3.43636E-8	
-38.9977	3.63365E-7	-38.9977	-3.13344E-8	
-37.9972	3.40106E-7	-37.9972	-2.85158E-8	
-36.9971	3.1921E-7	-36.9971	-2.57987E-8	
-36.0002	2.98354E-7	-36.0002	-2.32924E-8	
-34.9989	2.78825E-7	-34.9989	-2.09242E-8	
-33.9983	2.57449E-7	-33.9983	-1.88735E-8	
-32.998	2.38923E-7	-32.998	-1.67189E-8	
-31.9974	2.20115E-7	-31.9974	-1.49116E-8	
-30.9911	2.01333E-7	-30.9911	-1.31239E-8	
-29.9898	1.82996E-7	-29.9898	-1.17199E-8	
-28.9867	1.66548E-7	-28.9867	-1.01342E-8	
-27.9988	1.51057E-7	-27.9988	-8.94576E-9	
